customer_id,name,age,gender,country,region,membership,email,phone
1,Customer 1,55,Male,France,South,Bronze,customer1@gmail.com,+91-3746317213
2,Customer 2,54,Female,India,Central,Silver,customer2@gmail.com,+91-9697354961
3,Customer 3,65,Female,India,South,Silver,customer3@gmail.com,+91-2181241943
4,Customer 4,65,Female,China,Central,Gold,customer4@gmail.com,+91-1958682846
5,Customer 5,27,Male,France,Central,Bronze,customer5@gmail.com,+91-4163119785
6,Customer 6,58,Male,France,East,Silver,customer6@gmail.com,+91-9963334018
7,Customer 7,53,Male,UK,West,Silver,customer7@gmail.com,+91-2812140441
8,Customer 8,46,Other,Japan,West,Silver,customer8@gmail.com,+91-1127978094
9,Customer 9,31,Female,France,North,Gold,customer9@gmail.com,+91-1939042955
10,Customer 10,21,Male,France,East,Bronze,customer10@gmail.com,+91-9703905715
11,Customer 11,61,Female,Germany,West,Gold,customer11@gmail.com,+91-7635473142
12,Customer 12,59,Male,Canada,Central,Silver,customer12@gmail.com,+91-6241752544
13,Customer 13,53,Male,India,Central,Bronze,customer13@gmail.com,+91-7825844140
14,Customer 14,67,Male,USA,South,Gold,customer14@gmail.com,+91-4460967357
15,Customer 15,62,Female,India,South,Silver,customer15@gmail.com,+91-8293453178
16,Customer 16,30,Other,UK,Central,Silver,customer16@gmail.com,+91-6756332150
17,Customer 17,63,Male,UK,Central,Gold,customer17@gmail.com,+91-1667779376
18,Customer 18,35,Male,UK,South,Silver,customer18@gmail.com,+91-2445662585
19,Customer 19,50,Male,Japan,West,Silver,customer19@gmail.com,+91-5693307665
20,Customer 20,38,Other,USA,North,Bronze,customer20@gmail.com,+91-5710360983
21,Customer 21,33,Female,China,South,Silver,customer21@gmail.com,+91-8934927891
22,Customer 22,32,Female,Japan,West,Gold,customer22@gmail.com,+91-7887950851
23,Customer 23,22,Female,UK,West,Bronze,customer23@gmail.com,+91-4466589567
24,Customer 24,23,Female,Japan,West,Gold,customer24@gmail.com,+91-8429141456
25,Customer 25,55,Male,China,East,Silver,customer25@gmail.com,+91-3303082117
